Details,PageH1heading,URL,articlecreateddate,linkurls,pagetitle
"[NEW YORK] While global banks have been pouring money into information technology - to the tune of US$1 trillion over three years - only a handful appear to be fully committed to a digital...,NTUC Income on Thursday launched a life insurance portal and a digital adviser channel, giving digitally savvy consumers the opportunity to transact entirely online.,SOUTH-EAST Asia is the top destination for mergers, acquisitions and investments in the next two years, according to a new poll of business leaders in the Asia-Pacific.,SMALL and medium businesses (SMB) in Singapore are the most digitally mature in the Asia-Pacific region, ahead of peers in countries such as Japan, Australia, and New Zealand, according to a new...,GREAT Eastern has rolled out a suite of digital tools giving its advisers a one-stop solution to enhance their efficiency and productivity.,Mark Bunting, Rackspace chief marketing officer, shares some successful examples of digital transformation through the world of sports.,MUCH has been made about how the digital retail revolution is affecting customers - but what is the impact on the infrastructure needed to support the evolution of the retail supply chain?,DIGITAL transformation plans often sound like major projects that involve companies making bold moves in a bid to give their businesses a new phase of life.,[MADRID] It took Maite Alvarez, a Stanford University-trained immunologist, seven years to plot her return to Spain.,How are local SMEs progressing on their digital transformation journeys?,David Orgaz, senior vice-president of process automation at Schneider-Electric, tells us how the company is empowering industries to make smarter data-driven decisions in their daily operations....,SPH Digital News,© 2019 SINGAPORE PRESS HOLDINGS LTD. REGN NO. 198402668E",,https://www.businesstimes.com.sg/keywords/digital-transformation,"Thu, Jun 27, 2019",,digital transformation Latest News & Headlines - THE BUSINESS TIMES
"Dear Readers, ,To provide you with better and more secure services, we are upgrading our key systems from 11.30pm on Nov 4, to 1am on Nov 5, Singapore time. During the upgrade, your access may be interrupted intermittently. We appreciate your patience and understanding.,SINGAPORE policymakers will review a 1.5 to 2.5 per cent economic growth forecast for this year as the United States...,Money Hacks' co-hosts Ernest Luis and Chris Lim discuss practical tips to get started if you have not used your...,Money Hacks' co-hosts Ernest Luis and Chris Lim discuss practical tips to get started if you have not used your...,Stories you might have missed,THERE is no good news for local real estate developers and prospective property buyers at the Monetary Authority of...,SINGAPORE has made its first funding commitment for 5G mobile networks - a technology that it is banking on, to...,THE Singapore Exchange (SGX) on Thursday announced a new organisation structure and that Muthukrishnan Ramaswami, 62...,UNITS at upcoming freehold Bukit Timah condo Juniper Hill, at Ewe Boon Road, will be up for sale on July 13,...,[MUMBAI] India's monsoon rains were below average for the fourth straight week, with rainfall scanty over central...,EPICENTRE Holdings' ability to continue as a going concern will likely be materially impacted if it is forced to...,[NEW DELHI] The present economic environment is not conducive for the sale of state-run carrier Air India in the ""...,[BRUSSELS] A blockbuster trade deal between Europe and South America remained uncertain on Thursday as key...,[FRANKFURT] Ford said it will have cut 12,000 jobs in Europe by the end of next year to try to return the business...,CALL 6388 3838,CALL 6388 3838,As the common English phrase goes, it never rains but it pours! ,SOUTH-EAST Asia is still an attractive region for building an entrepreneurial ecosystem, noted panellists at...,REPORTS that the US and China have reached a tentative truce ahead of this weekend's meeting at the G-20 summit saw...,MALAYSIA share prices closed lower on Thursday, with the FTSE Bursa Malaysia Kuala Lumpur Composite Index down 1.79...,[HONG KONG] Hong Kong stocks jumped more than one per cent Thursday as investors await the key meeting between...,[LONDON] European stock markets rose at the open on Thursday, with all eyes on the Group of 20 summit and key trade...,[SEOUL] South Korea's KOSPI stock index closed higher on Thursday on expectations of a US-China trade truce, while...,[TOKYO] Tokyo stocks closed higher on Thursday boosted by a halt in the yen's appreciation, with investors focused...,FRASERS Property Singapore chief executive Christopher Tang feels most satisfied when the firm succeeds in creating...,WE smell something at The Black Swan. Not so much food, but fear - our fear. The kind that idiot cousins from the...,THE NAME Thomas Heatherwick may not immediately ring a bell, but it doesn’t matter because his creations are not...,...,LOTS of new entries, a few women chefs, one Chinese restaurant and a fake chihuahua - these were some of the...,In using a digital platform to add a touch of modernity, Haulio’s Alvin Ea is hauling the logistics industry into a new era.,SPH Digital News,© 2019 SINGAPORE PRESS HOLDINGS LTD. REGN NO. 198402668E",,https://www.businesstimes.com.sg/,"Thu, Jun 27, 2019",,THE BUSINESS TIMES - Get the Latest Business & Financial News
"SPH Digital News,© 2019 SINGAPORE PRESS HOLDINGS LTD. REGN NO. 198402668E",,https://www.businesstimes.com.sg/breaking-news,"Thu, Jun 27, 2019",,Latest Breaking News & Headlines - THE BUSINESS TIMES
"Singapore,GREAT Eastern has rolled out a suite of digital tools giving its advisers a one-stop solution to enhance their efficiency and productivity.,GE's ""Great Digital Advantage'' platform was built from scratch, with costs running in the ""double-digit millions'' of dollars....,Get our , at only,*$0.99/month for first 3 months,$29.90/month for the next 9 months,CALL +65 6388 3838 EMAIL ,OPERATING HOURS (+8 GMT) MON-FRI: 8:30AM-5:30PM,SPH Digital News,© 2019 SINGAPORE PRESS HOLDINGS LTD. REGN NO. 198402668E",Great Eastern rolls out suite of digital tools for advisers,https://www.businesstimes.com.sg/companies-markets/great-eastern-rolls-out-suite-of-digital-tools-for-advisers,"Thu, Jun 27, 2019",,"Great Eastern rolls out suite of digital tools for advisers, Companies & Markets - THE BUSINESS TIMES"
"seeks to be the go-to-portal for up-to-date information, useful business guides, resources and key economic and business updates, to help you seize opportunities around the region as they arise.,Singapore,SOUTH-EAST Asia is the top destination for mergers, acquisitions and investments in the next two years, according to a new poll of business leaders in the Asia-Pacific.,Sixty-nine per cent of survey respondents said that their companies were likely to hunt for..., ,Need help?,CALL +65 6388 3838 EMAIL ,seeks to be the go-to-portal for up-to-date information, useful business guides, resources and key economic and business updates, to help you seize opportunities around the region as they arise.,Powered by",South-east Asia a rising star for cross-border deals: poll,https://www.businesstimes.com.sg/asean-business/south-east-asia-a-rising-star-for-cross-border-deals-poll-0,,,"South-east Asia a rising star for cross-border deals: poll, ASEAN Business - THE BUSINESS TIMES"
"Singapore,NTUC Income on Thursday launched a life insurance portal and a digital adviser channel, giving digitally savvy consumers the opportunity to transact entirely online.,The insurance cooperative has put 18 savings and protection plans on the portal, called Online Life (...,Get our , at only,*$0.99/month for first 3 months,$29.90/month for the next 9 months,CALL +65 6388 3838 EMAIL ,OPERATING HOURS (+8 GMT) MON-FRI: 8:30AM-5:30PM,SPH Digital News,© 2019 SINGAPORE PRESS HOLDINGS LTD. REGN NO. 198402668E",NTUC Income launches integrated life insurance and digital adviser portal,https://www.businesstimes.com.sg/consumer/ntuc-income-launches-integrated-life-insurance-and-digital-adviser-portal,"Thu, Jun 27, 2019",,"NTUC Income launches integrated life insurance and digital adviser portal, Consumer - THE BUSINESS TIMES"
"[NEW YORK] While global banks have been pouring money into information technology - to the tune of US$1 trillion over three years - only a handful appear to be fully committed to a digital transformation and are therefore reaping the benefits, according to an Accenture Plc study.,Just 19 banks among the 161 largest retail and commercial banks that the consulting firm examined have been focusing enough on digital strategies to ""make the shift to a different sort of bank,"" Accenture said in the report, released on Thursday. And those that did were rewarded for their efforts, the firm said.,All the banks studied, based in 21 countries, started at roughly similar rates of return on equity in 2011, but by 2017 the banks that Accenture identified as ""digital focused"" had ROE that rose 0.9 percentage points. The 81 least digitally focused banks, meanwhile, saw their ROE slip 1.1 percentage points - and Accenture researchers said the gap is likely to continue to widen through 2021. ROE at a middle group of 61 ""digital active"" banks was little changed.,""You could see in those three groups the performance deferential,"" Alan McIntyre, an Accenture senior managing director and co-author of the report, said in an interview. ""You see a gap, and where the gap is coming from, and it's coming from digital."",The US$1 trillion estimate by Accenture is for retail and commercial banks globally, and includes all internal and external hardware, software, service and information-technology staff costs. The most digitally focused banks became more profitable through cost-cutting, Accenture researchers said, and Wall Street has rewarded them with higher valuations. While the study didn't include names of the banks studied, Mr McIntyre said that the 19 most digitally focused banks include JPMorgan Chase & Co.,New York-based JPMorgan, the largest US bank, has been a top spender among financial firms in the technology arms race. In February, it said it planned to boost its tech budget by US$600 million to US$11.4 billion this year.,BLOOMBERG,SPH Digital News,© 2019 SINGAPORE PRESS HOLDINGS LTD. REGN NO. 198402668E","Banks spend US$1t on digital, but few benefit, study says",https://www.businesstimes.com.sg/banking-finance/banks-spend-us1t-on-digital-but-few-benefit-study-says,"Thu, Jun 27, 2019",,"Banks spend US$1t on digital, but few benefit, study says, Banking & Finance - THE BUSINESS TIMES"
"Money FM podcast: Mind Your Business - The benefits of digital transformation and data analytics,Mind Your Business - The benefits of digital transformation and data analytics,12:22 mins,Synopsis: Industrial Transformation ASIA-PACIFIC will be the engaging and inclusive event where stakeholders and targeted audience groups convene for networking and knowledge transfer opportunities for business success. Schneider-Electric will be showcasing how digital transformation and the integration of information technology with operational technology systems are empowering industries to make smarter data-driven decisions in their daily operations. Joining us is David Orgaz, senior vice-president of process automation at Schneider-Electric.,Produced by: Howie Lim of Midday Edition on MoneyFM 89.3,Feedback to: ,Download ST & BT podcasts for offline listening: ,
On website: ,
On Spotify: ,
On iTunes: ,
On Google podcasts: ,SPH Digital News,© 2019 SINGAPORE PRESS HOLDINGS LTD. REGN NO. 198402668E",Money FM podcast: Mind Your Business - The benefits of digital transformation and data analytics,https://www.businesstimes.com.sg/technology/money-fm-podcast-mind-your-business-the-benefits-of-digital-transformation-and-data,"Thu, Jun 27, 2019",,"Money FM podcast: Mind Your Business - The benefits of digital transformation and data analytics, Technology - THE BUSINESS TIMES"
"Money FM podcast: Mind Your Business - Helping SMEs on their digital transformation journeys,Mind Your Business - Helping SMEs on their digital transformation journeys,13:38 mins,Synopsis: How are local SMEs progressing on their digital transformation journeys? Especially as Singapore gears up in its efforts to become a leading digital economy. There is a pressing need for small and medium enterprises (SMEs) to go digital in order to seize opportunities for growth. Gerald Leo, director, commercial partners and small medium enterprise group, Microsoft Singapore,Produced by: Howie Lim of Midday Edition on MoneyFM 89.3,Feedback to: ,Download ST & BT podcasts for offline listening: ,
On website: ,
On Spotify: ,
On iTunes: ,
On Google podcasts: ,SPH Digital News,© 2019 SINGAPORE PRESS HOLDINGS LTD. REGN NO. 198402668E",Money FM podcast: Mind Your Business - Helping SMEs on their digital transformation journeys,https://www.businesstimes.com.sg/sme/money-fm-podcast-mind-your-business-helping-smes-on-their-digital-transformation-journeys,"Thu, Jun 27, 2019",,"Money FM podcast: Mind Your Business - Helping SMEs on their digital transformation journeys, SME - THE BUSINESS TIMES"
"Money FM podcast: The Hot Seat: What pro sports can teach us about digital transformation,The Hot Seat: What pro sports can teach us about digital transformation,12:18 mins,Synopsis: Mark Bunting, Rackspace chief marketing officer, shares some successful examples of digital transformation through the world of sports.,Feedback to: ,Download ST & BT podcasts for offline listening: ,
On website: ,
On Spotify: ,
On iTunes: ,
On Google podcasts: ,SPH Digital News,© 2019 SINGAPORE PRESS HOLDINGS LTD. REGN NO. 198402668E",Money FM podcast: The Hot Seat: What pro sports can teach us about digital transformation,https://www.businesstimes.com.sg/technology/money-fm-podcast-the-hot-seat-what-pro-sports-can-teach-us-about-digital-transformation,"Thu, Jun 27, 2019",,"Money FM podcast: The Hot Seat: What pro sports can teach us about digital transformation, Technology - THE BUSINESS TIMES"
