Details,PageH1heading,URL,articlecreateddate,linkurls,pagetitle
"SPH Digital News / Copyright © 2019 Singapore Press Holdings Ltd. Co. Regn. No. 198402868E. All rights reserved ,We have been experiencing some problems with subscriber log-ins and apologise for the inconvenience caused. Until we resolve the issues, subscribers need not log in to access ST Digital articles. But a log-in is still required for our PDFs.",,https://www.straitstimes.com/tags/digital-transformation,,"https://www.straitstimes.com/business/money-fm-podcast-mind-your-business-digital-transformation-benefits-and-data-analytics,https://www.straitstimes.com/business/money-fm-podcast-influence-digital-transformation-necessary-to-be-competitive,https://www.straitstimes.com/tech/kampong-glam-shopping-belt-to-revive-buzz-with-digital-makeover",Latest DIGITAL TRANSFORMATION | The Straits Times
"Networking hardware colossus Cisco is helping businesses face disruption in technology to stay relevant, writes Balqis Lim, , businesses to remain relevant in this age of disruptive technology, they need to be able to imagine what the future looks like.,A disruptive technology is one that displaces an established technology and shakes up the industry, or a ground breaking product that creates a completely new industry.,We all hear about disruption today, and we can see how old norms and business models are being disrupted everyday mainly by technology.,Cisco Asia Pacific, China and Japan president Miyuki Suzuki said that underneath it all is discontinuity.,“Although unnerving, it also leads to other opportunities,” she said.,Suzuki cited the example of Airbnb, the world’s largest community-driven hospitality company offering homes and experiences. Airbnb, due to its unique business model, has created a disruption in the industry.,“Airbnb has changed the face of the hospitality industry and property rentals, thanks to a change in our values. We now allow strangers to ‘sleep in our beds’.,“But this discontinuity has created a disruption. There are now 2.2 million homes on the Airbnb website, with 90 million users in 34,000 cities. Melbourne alone has more than 17,000 listings,” said Suzuki during her opening keynote address at Cisco Live! Melbourne 2019 recently.,Cisco Live! is the industry’s annual premier conference for businesses, customers and partners to connect and engage with the best of Cisco’s technology, solutions, executives, engineers and IT experts.,Besides the innovation talks and comprehensive sessions, the World of Solutions exhibition showcases the latest technology from Cisco and its partners.,The event is designed to educate, inform and update external stakeholders including customers, partners, industry analysts and the media.,Talking to over 8,000 participants at the Crown Metropol hotel, Suzuki said it is all about the shared economy, optimising assets and on-demand experiences today.,“Companies, communities, and business models have to evolve to keep pace with these changes in our values.,“Look at the car industry. Their values are changing too. During my generation, the baby boomers, we cared about owning a luxury car as a status symbol. However, our children don’t want to own a car as they think it’s really wasteful for something to sit in the garage or parking lot 95 per cent of the time.”,However, discontinuity also creates an opportunity to move forward, and create something new, as well as change organisations.,Citing Kyoto in Japan, Suzuki said the city has transformed and embraced technology to modernise and change with the help of Cisco’s innovation.,With 80 million people visiting Kyoto every year, strategically-located smart kiosks connect tourists with a concierge who can steer them to less congested attractions. This will enable the crowd to be evenly distributed.,Among the examples of the modernisation effort in Kyoto is smart street lighting to monitor foot traffic. The system automatically controls the brightness of the lights when and where it is needed most. With the use of special terminals that monitor multiple cameras, data can be compared simultaneously, making the city safer and smarter., ,Echoing Suzuki, Cisco’s senior vice president and chief of operations Irving Tan said as artificial intelligence and machine learning are transforming experiences for customers, the world is seeing a disruptive power of digitisation in terms of business models.,He cited an example in China where WeChat, often viewed as a social media platform, is also one of the largest purely digital banks.,“It is completely digital, disrupting a well-established institution of financial payments. It supports one billion monthly users and processes more transactions than the entire amount of credit and debit cards in China.,“This shows how even traditional industries like the financial industry can be disrupted and transformed, and the scale and speed at which it is happening,” he said.,That disruption and speed are only going to get even faster with two changes that are happening on the horizon.,“The introduction of 5G networks and WiFi 6 will open unprecedented possibilities,” said Tan.,But as this happens, he explained, it also exposes organisations to more threats and data breaches. Organisations undergoing digitisation need to do it safely and securely.,A recent Cisco study across the Asia Pacific region involving 11 countries found that enterprises have to deal with 10,000 threats daily of which most organisations said they are only equipped to handle 50 per cent of those threats.,“It also requires us to have a different mindset towards security. Away from just pure prevention to rapid detection, which means security has to be applied everywhere and built into the entire digitisation framework.,“Being cybersafe is not a responsibility of just one department, but all employees have to be aware of the role they have to play in keeping an organisation safe,” said Tan., ,Organisations see the ability to leap ahead of the competition with digitisation.,In a recent Digital Ready Asia study by Cisco, it was revealed that 92 per cent of companies in the region have a digital transformation strategy and 88 per cent of them say that it is the right strategy to help them deliver their desired business goal.,Meanwhile, in terms of maturity, Cisco’s APAC SMB Digital Maturity Index shows Malaysia ranked 10th among 14 countries from the region, with Singapore, Japan and New Zealand taking the top three spots.,The Index also revealed that 61 per cent of small and medium-sized businesses (SMBs) in Asia Pacific have started to embrace digitisation, which puts them in a good position to leverage opportunity.,The alarming bit is that 39 per cent of SMBs surveyed do not have digital efforts in place at all. These businesses are at the greatest risk. They will likely face a hard time keeping pace with their competitors in the industry. At worst, these companies may not exist in a few years.,Tan said Cisco is also helping organisations to realise and unlock the potential of their digital dream based on the foundation of secure, intelligent platform for digital business and taking advantage of multicloud, network reinvention, data, security, and the creation of meaningful customer experiences., ,Cisco is building a multi-domain architecture that delivers to any user and device through applications and data.,They include the Catalyst 9000, Google Cloud and AWS partnerships, crosswork automation for service providers, and Cisco Secure SD-WAN.,Cisco has also undergone its own digital transformation, leading with software-defined approach besides pivoting its business models.,Tan said Cisco’s digital architecture now includes cloud and infrastructure, applications, analytics and data.,The networking hardware colossus has also opened up a new ecosystem called DevNet, that is short for developer network.,This platform enables Cisco’s partners to develop solutions and capabilities specific to their industry needs. There are over 570,000 developers within the DevNet community today.,In helping its customers and partners to deliver innovation, Cisco has also rolled out 14 global Cisco Co-Innovation Centres, of which four are in the Asia Pacific and Japan region.,Through its Networking Academy, Cisco is also providing IT skills and career building programmes to institutions and individuals globally to help solve the problem of talent shortage and unlock opportunities of a digital economy.,“Digital transformation is paying off for us. I’m confident it can pay off for you too,” said Tan.,© , New Straits Times,,New Straits Times Press (M) Bhd.,A part of Media Prima Group.",,http://www2.nst.com.my/lifestyle/bots/2019/03/471928/transform-survive,,,Transform to survive | New Straits Times | Malaysia General Business Sports and Lifestyle News
"In an age of transformation, knowing “how to” is everything. In this one-day course, business owners and professionals will learn how to:  , , ,Navjot Pawera is the director and head of design at Buuuk, a Singapore-based tech studio that has helped government and private organisations win international awards with their innovative digital solutions. He had previously worked with clients in India and Norway before working in Singapore.,Azhar Kasman is the Editor of Stomp, SPH's award-winning citizen-journalism site, and also a Content Strategist for SPH's English, Malay, Tamil Media Group. Besides his editorial duties, Azhar explores new digital technologies and innovations for the newsroom and works closely with business clients to help them conceptualise and execute their digital content strategies.,$648 per participant,© 2019 Singapore Press Holdings Ltd.",,https://www.stskills.sg/course/digital-business/the-straits-times-digital-strategy-course,,,ST Skills
"SPH Digital News / Copyright © 2019 Singapore Press Holdings Ltd. Co. Regn. No. 198402868E. All rights reserved ,We have been experiencing some problems with subscriber log-ins and apologise for the inconvenience caused. Until we resolve the issues, subscribers need not log in to access ST Digital articles. But a log-in is still required for our PDFs.",,https://www.straitstimes.com/tags/imda-transformation-digital,,https://www.straitstimes.com/singapore/kampong-glam-to-undergo-digital-makeover-under-plan-to-boost-retail-sector,"Latest IMDA, TRANSFORMATION, DIGITAL | The Straits Times"
"Mind Your Business - Digital transformation benefits and data analytics,12:22 mins,Synopsis: Industrial Transformation Asia-Pacific will be an event where stakeholders and targeted audience groups convene for networking and knowledge transfer opportunities for business success. Schneider-Electric will show how digital transformation and the integration of information technology (IT) and operational technology (OT) systems are empowering industries to make smarter data-driven decisions in their daily operations.,Mr David Orgaz, senior vice-president of process automation at Schneider-Electric, appears in this podcast.,Produced by: Howie Lim of Midday Edition on MoneyFM 89.3,Feedback to: ,Download ST & BT podcasts for offline listening: ,On website: ,On Spotify: ,On iTunes: ,On Google podcasts: ,SPH Digital News / Copyright © 2019 Singapore Press Holdings Ltd. Co. Regn. No. 198402868E. All rights reserved ,We have been experiencing some problems with subscriber log-ins and apologise for the inconvenience caused. Until we resolve the issues, subscribers need not log in to access ST Digital articles. But a log-in is still required for our PDFs.",Money FM podcast: Mind Your Business - Digital transformation benefits and data analytics,https://www.straitstimes.com/business/money-fm-podcast-mind-your-business-digital-transformation-benefits-and-data-analytics,"<div class=""story-postdate""><div class=""label-inline"">Published</div>Oct 26, 2018, 3:00 pm SGT</div>",,"Money FM podcast: Mind Your Business - Digital transformation benefits and data analytics, Business News & Top Stories - The Straits Times"
"Banks are making sure their customer service officers are staying ahead of technological disruption.,The employees are getting training to understand customer journeys, and interpret and analyse data.,The upgrades are necessary, especially with more customers preferring to bank online. New roles have also been created to showcase the changing face of bank contact centres. They come with snazzy new names such as digital evangelist.,SPH Digital News / Copyright © 2019 Singapore Press Holdings Ltd. Co. Regn. No. 198402868E. All rights reserved ,We have been experiencing some problems with subscriber log-ins and apologise for the inconvenience caused. Until we resolve the issues, subscribers need not log in to access ST Digital articles. But a log-in is still required for our PDFs.",Banks equipping staff for digital transformation,https://www.straitstimes.com/singapore/banks-equipping-staff-for-digital-transformation,,https://www.straitstimes.com/singapore,"Banks equipping staff for digital transformation, Singapore News & Top Stories - The Straits Times"
"SPH Digital News / Copyright © 2019 Singapore Press Holdings Ltd. Co. Regn. No. 198402868E. All rights reserved ,We have been experiencing some problems with subscriber log-ins and apologise for the inconvenience caused. Until we resolve the issues, subscribers need not log in to access ST Digital articles. But a log-in is still required for our PDFs.",,https://www.straitstimes.com/files/branded-content-customer-experience-digital-transformation-journeys-simplified,,,"The Straits Times - Breaking News, Lifestyle & Multimedia News"
"A digital makeover is being planned for the Kampong Glam Malay heritage site in Arab Street, which many merchants there believe is critical for them to survive the onslaught of online shopping.,As part of the Government's plan to transform the retail sector, merchants there can expect to see Wi-Fi hot spots dotting the shopping belt, or use data analytics tools to provide personalised promotions to consumers on their mobile phones. The aim is to revive the shopping buzz in the area.,Ms Sherry See, owner of Utopia Apparels in Bussorah Street, said the number of visitors to Kampong Glam has declined by up to 40 per cent over the last 10 years.,""Some fabric shops have also closed down due to poor business,"" she said, noting that Kampong Glam merchants need help to make them more ""discoverable"" via an online directory, for instance.,""Many shoppers do not venture beyond Arab Street or Haji Lane,"" she added.,Mr Mohd Zain Said, director of the SME Centre at the Singapore Malay Chambers of Commerce and Industry (SMCCI), said small and medium-sized enterprises also need to automate to do more with fewer staff.,""It's the only way to meet the new demand and expectation of customers,"" he said.,At the very least, they must use technology to track inventory, he added. The next level would be to go cashless or create a Web store front to reach out to more buyers.,Kampong Glam's makeover is the first such initiative by the Infocomm Media Development Authority (IMDA).,""When completed, it would be an interesting showcase that interweaves tradition and digital technologies,"" said Minister for Communications and Information Yaacob Ibrahim in announcing the move yesterday.,It will also complement the retail Industry Development Plan (IDP), also announced yesterday. The plan is the second of many such blueprints containing checklists and approved technology packages to help lift sectors where innovation has been lagging. The first IDP for the logistics sector was announced by IMDA on Wednesday.,To complete Kampong Glam's makeover, IMDA and Spring Singapore have signed a memorandum of intent with SMCCI and One Kampong Glam business association.,They will jointly identify technologies that could lift the appeal of the area by creating a richer and more immersive retail experience. The plan is expected to be ready in three months, and the revamp is likely to start in the second half of next year.,SPH Digital News / Copyright © 2019 Singapore Press Holdings Ltd. Co. Regn. No. 198402868E. All rights reserved ,We have been experiencing some problems with subscriber log-ins and apologise for the inconvenience caused. Until we resolve the issues, subscribers need not log in to access ST Digital articles. But a log-in is still required for our PDFs.",Kampong Glam shopping belt to revive buzz with digital makeover,https://www.straitstimes.com/tech/kampong-glam-shopping-belt-to-revive-buzz-with-digital-makeover,"<div class=""story-postdate""><div class=""label-inline"">Published</div>Nov 4, 2017, 5:00 am SGT</div>",,"Kampong Glam shopping belt to revive buzz with digital makeover, Tech News & Top Stories - The Straits Times"
"Buuuk recently joined forces with Singapore Press Holdings (SPH) to present a one-day course on digital strategy for digital products in the business environment. It took place at SPH office and helped participants on a step by step guide through how to leverage and execute digital technologies to improve their business.,At,, there were two main presenters who shared insider information about the best ways to implement a digital strategy and exactly how.,, Content Strategist for EMTM Digital and SPH’s Tamil Media Group and Editor of Stomp, SPH’s own social media website, took turns presenting the streamlined course material with Buuuk’s Director and Head of Design,,.,Together, they have a vast amount of experience with developing and helping businesses leverage digital technologies. Here are some of the topics covered and what participants in the workshop gained.,It’s essential to cover the fundamentals before delving deep into the ins and outs of digital strategy. Azhar described the basics of digital strategy and how to define it for your business, including what you need to know specifically to build your own digital strategy.,Some of the most important things to consider when taking your business online are your marketing strategies, the platform you use, and balancing your budget accordingly. Participants conducted a SWOT analysis of their businesses to see which areas can be improved. Along with SWOT analysis a framework to create customer personas for businesses was also introduced. Azhar provided particpants a SWOT analysis cheat sheet and customer persona guide to allow participants to fill out on the spot.,The workshop helped attendees to understand how to use design thinking as a tool. Navjot from Buuuk, facilitated the group through the subtleties of a customer journey map, a sequence map, and specific instructions on how to build each of them in accordance with your specific field. This technique is very effective for methodically creating an executable plan.,Specific problems were addressed, such as how to decide whether you should spend time and effort on building an app or a website for your business. Factors that go into the process of putting your business online are customer acquisition strategies, types of platforms that will be used, and of course, budget management.,Navjot discusses in detail what it means to run a business in the digital age. Times are changing fast, and staying up to date is now more important than ever. There are certain questions that should be asked before even building a new product or service. Nav shared his insight 5 key questions you should ask yourself before starting out to build a new digital product or service.,It’s essential to get to know your audience as intimately as possible. And to that effect, there are certain ways that you should and shouldn’t present yourself online. Your online image is extremely important. How to present yourself and how to engage with customers were discussed and explained in detail. A strong social media marketing plan that fits your business well is also vital. Who you should work with to reach your online business goals is a factor that shouldn’t be overlooked. A marketing channel comparison table was provided to demonstrate which strategies work well and which don’t.,In this invaluable course, attendees gained an essential framework that can be applied to nearly all kinds of online products and services. They learned how to make key decisions for various parts of their digital strategy, and how to make adjustments to improve their overall approach. It was a unique workshop that got positive appreciation from all participants.,Sid is our Insight and Communications lead. He likes to consider himself as a chaos manager. When not found at his desk, Sid is usually away working remotely or outside longboarding in the parking lot.,
      ,
    ,
      	,
      	,
    ","
								Buuuk & SPH’s Digital Strategy Course Overview: What We Learnt							",https://buuuk.com/blog/buuuk-sphs-digital-strategy-course-overview-what-we-learnt/,,,Buuuk & SPH’s Digital Strategy Course Overview: What We Learnt | Buuuk
"Influence,Duration: 12:41 mins,Synopsis: Hyper Island’s Jonathan Briggs on the future of work, and the changes needed to be competitive.,Produced by: The Curve on MoneyFM 89.3,Listeners: Send us your feedback to: ,Download ST & BT podcasts for offline listening: ,On website: ,On iTunes: ,On Google Podcasts: ,SPH Digital News / Copyright © 2019 Singapore Press Holdings Ltd. Co. Regn. No. 198402868E. All rights reserved ,We have been experiencing some problems with subscriber log-ins and apologise for the inconvenience caused. Until we resolve the issues, subscribers need not log in to access ST Digital articles. But a log-in is still required for our PDFs.",Money FM podcast: Influence - Digital transformation necessary to be competitive,https://www.straitstimes.com/business/money-fm-podcast-influence-digital-transformation-necessary-to-be-competitive,"<div class=""story-postdate""><div class=""label-inline"">Published</div>Aug 9, 2018, 11:00 am SGT</div>",,"Money FM podcast: Influence - Digital transformation necessary to be competitive, Business News & Top Stories - The Straits Times"
